id;X;Y;Z;dist1;dist2;dist3
305;2.089551;0;1.384259;15.53;11.39;23.81
306;2.089551;0;1.130788;15.57;11.46;23.81
307;2.089551;0;0.877318;15.63;11.53;23.81
308;2.089551;0;0.623848;15.68;11.6;23.81
309;2.089551;0;0.370378;15.74;11.68;23.81
310;2.338919;0;7.974484;15.46;11.39;23.57
311;2.338919;0;7.721014;15.4;11.31;23.57
312;2.338919;0;7.467544;15.35;11.24;23.57
313;2.338919;0;7.214073;15.3;11.17;23.57
314;2.338919;0;6.960603;15.25;11.11;23.57
315;2.338919;0;6.707133;15.21;11.05;23.57
316;2.338919;0;6.453663;15.17;11;23.57
317;2.338919;0;6.200193;15.14;10.95;23.57
318;2.338919;0;5.946722;15.11;10.91;23.57
319;2.338919;0;5.693252;15.08;10.87;23.57
320;2.338919;0;5.439782;15.06;10.84;23.57
321;2.338919;0;5.186312;15.04;10.82;23.57
322;2.338919;0;4.932842;15.03;10.8;23.57
323;2.338919;0;4.679371;15.02;10.79;23.57
324;2.338919;0;4.425901;15.01;10.78;23.57
325;2.338919;0;4.172431;15.01;10.78;23.57
326;2.338919;0;3.918961;15.02;10.79;23.57
327;2.338919;0;3.66549;15.02;10.8;23.57
328;2.338919;0;3.41202;15.04;10.81;23.57
329;2.338919;0;3.15855;15.05;10.84;23.57
330;2.338919;0;2.90508;15.07;10.86;23.57
331;2.338919;0;2.65161;15.1;10.9;23.57
332;2.338919;0;2.398139;15.13;10.94;23.57
333;2.338919;0;2.144669;15.16;10.98;23.57
334;2.338919;0;1.891199;15.19;11.03;23.57
335;2.338919;0;1.637729;15.24;11.09;23.57
336;2.338919;0;1.384259;15.28;11.15;23.57
337;2.338919;0;1.130788;15.33;11.22;23.57
338;2.338919;0;0.877318;15.38;11.29;23.57
339;2.338919;0;0.623848;15.44;11.36;23.57
340;2.338919;0;0.370378;15.5;11.45;23.57
341;2.588287;0;7.974484;15.22;11.16;23.32
342;2.588287;0;7.721014;15.16;11.08;23.32
343;2.588287;0;7.467544;15.1;11;23.32
344;2.588287;0;7.214073;15.05;10.93;23.32
345;2.588287;0;6.960603;15.01;10.87;23.32
346;2.588287;0;6.707133;14.96;10.81;23.32
347;2.588287;0;6.453663;14.92;10.75;23.32
348;2.588287;0;6.200193;14.89;10.71;23.32
349;2.588287;0;5.946722;14.86;10.66;23.32
350;2.588287;0;5.693252;14.83;10.63;23.32
351;2.588287;0;5.439782;14.81;10.6;23.32
352;2.588287;0;5.186312;14.79;10.57;23.32
353;2.588287;0;4.932842;14.78;10.55;23.32
354;2.588287;0;4.679371;14.77;10.54;23.32
355;2.588287;0;4.425901;14.76;10.53;23.32
356;2.588287;0;4.172431;14.76;10.53;23.32
357;2.588287;0;3.918961;14.77;10.54;23.32
358;2.588287;0;3.66549;14.77;10.55;23.32
359;2.588287;0;3.41202;14.79;10.56;23.32
360;2.588287;0;3.15855;14.8;10.59;23.32
361;2.588287;0;2.90508;14.82;10.62;23.32
362;2.588287;0;2.65161;14.85;10.65;23.32
363;2.588287;0;2.398139;14.88;10.69;23.32
364;2.588287;0;2.144669;14.91;10.74;23.32
365;2.588287;0;1.891199;14.95;10.79;23.32
366;2.588287;0;1.637729;14.99;10.84;23.32
367;2.588287;0;1.384259;15.04;10.91;23.32
368;2.588287;0;1.130788;15.09;10.98;23.32
369;2.588287;0;0.877318;15.14;11.05;23.32
370;2.588287;0;0.623848;15.2;11.13;23.32
371;2.588287;0;0.370378;15.26;11.21;23.32
372;2.837655;0;7.974484;14.98;10.92;23.07
373;2.837655;0;7.721014;14.92;10.84;23.07
374;2.837655;0;7.467544;14.86;10.76;23.07
375;2.837655;0;7.214073;14.81;10.69;23.07
376;2.837655;0;6.960603;14.76;10.62;23.07
377;2.837655;0;6.707133;14.72;10.56;23.07
378;2.837655;0;6.453663;14.68;10.51;23.07
379;2.837655;0;6.200193;14.64;10.46;23.07
380;2.837655;0;5.946722;14.61;10.42;23.07
381;2.837655;0;5.693252;14.58;10.38;23.07
382;2.837655;0;5.439782;14.56;10.35;23.07
383;2.837655;0;5.186312;14.54;10.32;23.07
